id,region,district,source_type,source_name,water_use,water_use_category,water_use_fee,amount_abstracted,amount_requested,water_source_capacity,permit_history,permit_type,activity_status,permit_status,catchment
216,Arusha,Arusha,Borehole,Borehole,Bottling,Industry,300000,0.5,0.5,0.5,Water Right,Water Use Permit,Active,Valid,Kikuletwa
2264,Kilimanjaro,Moshi,Borehole,Borehole,Bottling,Industry,347304,0.8,0.8,0.8,New,Water Use Permit,Active,Valid,Kikuletwa
671,Kilimanjaro,Rombo,Borehole,Borehole,Bottling,Industry,441912,1.4,1.4,1.4,Water Right,Water Right,Active,Invalid,Ruvu
1278,Kilimanjaro,Hai,Borehole,Borehole,Bottling,Industry,1635296,5,5,5,New,Water Use Permit,Active,Valid,Ruvu
1068,Kilimanjaro,Moshi,Borehole,Borehole,Bottling,Industry,2467846.4,8.3,8.3,8.3,New,Water Use Permit,Active,Valid,Kikuletwa
347,Kilimanjaro,Moshi,Borehole,Borehole,Bottling,Industry,2467846.4,8.3,8.3,8.3,Water Right,Water Use Permit,Active,Valid,Ruvu
348,Kilimanjaro,Moshi,Borehole,Borehole,Bottling,Industry,2467846.4,8.3,8.3,8.3,Water Right,Water Use Permit,Active,Valid,Ruvu
1803,Kilimanjaro,Moshi,Borehole,Borehole,Bottling,Industry,4662752,17,17,17,New,Water Use Permit,Active,Valid,Ruvu
680,Kilimanjaro,Moshi,Spring,SHIYO,CBWSO,Community Water Supply ,100000,0.06,0.06,8,Water Right,Water Use Permit,Active,Invalid,Ruvu
2878,Kilimanjaro,Same,Spring,Mwakova,CBWSO,Community Water Supply ,100000,0.2,0.2,120,New,Application,Active,Invalid,Mkomazi
983,Tanga,Korogwe,Stream,Mamtalanda,CBWSO,Community Water Supply ,100000,0.28,0.28,,Water Right,Water Right,Active,Invalid,Pangani Mainstream
2585,Kilimanjaro,Same,Spring,CHENI SPRING,CBWSO,Community Water Supply ,100000,0.3,0.3,,New,Water Use Permit,Active,Valid,Pangani Mainstream
2594,Kilimanjaro,Same,Spring,HEIKUNGU SPRING,CBWSO,Community Water Supply ,100000,0.3,0.3,,New,Water Use Permit,Active,Valid,Pangani Mainstream
2589,Kilimanjaro,Same,Spring,KITOBO SPRING,CBWSO,Community Water Supply ,100000,0.3,0.3,,New,Water Use Permit,Active,Valid,Pangani Mainstream
2603,Kilimanjaro,Same,Spring,MSOGWENI SPRING,CBWSO,Community Water Supply ,100000,0.3,0.3,18.7,New,Water Use Permit,Active,Valid,Pangani Mainstream
