Id,File No.,Permit Code,Ranking No,New Permit No,APPLICANT NAME,POSTAL ADDRESS,Email,Tell 1,Tell 2,Region,DISTRICT,WARD,STREET/VILLAGE,Source,Source Name,Purpose Description (Water Use),Water Use Category,Approved (l/s),Requested Amount (l/s),Source Capacity (l/s),Amount  returned (l/s),Latitude (Decimal degree),Longitude (Decimal degree),Intake GPS Location Name,Application Date,Permit History,Permit Type,Permit Activity,Issue Date,Permit Duration (Days),Expire Date,Permit Validity Period,Permit Status,Review No,Permit Review 1 Issue Date,Permit Duration,Expire Date,Permit Validity Period,Permit Status,Permit Review 3 Issue Date,Permit Duration,Expire Date,Permit Validity Period,Permit Status,Pangani Mainstem,WUA,
443,140863,1110,863,11100863,UMOJA WA WAKULIMA BWAWANI MIWALENI (UWABWAMI),P.O.Box 7551 MOSHI,,,,Kilimanjaro,Moshi,,UCHIRA - MIWALENI,Borehole,,Irrigation,Community Group,25,25,25,,,,UCHIRA - MIWALENI,2-Nov-08,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,himo,
444,140864,1110,864,11100864,UMOJA WA WAKULIMA BWAWANI-MIWALENI,P.O.Box 7551 Moshi,,,,Kilimanjaro,Moshi,,Miwaleni-Uchira,Borehole,,Small Scale Irrigation,Irrigation,30,30,30,,,,Miwaleni-Uchira,11-Feb-08,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,himo,
1443,141348,1110,1348,11101348,Ndoika A. Mwanga,Kahe Moshi,ndoika52@yahoo.com,784720008,,Kilimanjaro,Moshi,,Mawala,Borehole,,Individual,Domestic,0.3,0.3,0.3,,,,Mawala,4-Mar-14,New,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,Rau,
1592,11101490,1110,1490,11101490,TENGERU INVESTMENT,P.O. Box 172 Moshi,aquatech.mos@gmail.com,2.55754E+11,2750300,Kilimanjaro,ARUMERU,,Mlangarini village,Borehole, No 337/2001,Small Scale Irrigation,Irrigation,4,4,4,,252665,9623626,Mlangarini village,24-Apr-15,New,Water Use Permit,Active,7-Sep-16,1826.25,7-Sep-21,-1256.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,kikuletwa,kikuletwa juu,
2700,2424,1110,2424,11102424,TPC LTD,Box 93 Moshi,tpc@tpc.co.tz,272754389,,Kilimanjaro,MOSHI,,Factory area,Borehole,3 B/H,Institution,Community Water Supply ,7.93,7.93,7.93,,96099,3149,Factory area,7-Mar-66,Water Right,Water Use Permit,Active,2-Jan-15,1826.25,2-Jan-20,-1870.75,Expired,11100313,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,rau,
184,11100388,1110,388,11100388,ARUSHA URBAN WATER SUPPLY AND SEWEREGE AUTHORITY,BOX  13600,md@auwsa.go.tz,,,Arusha,Arusha,,OLD SANAWARI,Borehole,AR 115/78,Urban Water Utilities Class A,Community Water Supply ,7,7,7,,,,OLD SANAWARI,19-Jun-19,Water Right,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
180,11100384,1110,384,11100384,ARUSHA URBAN WATER SUPPLY AND SEWEREGE AUTHORITY,P.O.BOX  13600 ARUSHA,md@auwsa.go.tz,255 2547186,2548981,Arusha,Arusha,,MOIVO II SANAWARI,Borehole,AR 161/87,Urban Water Utilities Class A,Community Water Supply ,11.57,11.57,11.57,,,,MOIVO II SANAWARI,19-Jun-19,Water Right,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
188,11100392,1110,392,11100392,ARUSHA URBAN WATER SUPPLY AND SEWEREGE AUTHORITY,P.O.BOX  13600 ARUSHA,md@auwsa.go.tz,255 27 2547186,2548981,Arusha,Arusha,,KIRANYI,Borehole,AR 208/97,Urban Water Utilities Class A,Community Water Supply ,19,19,19,,,,KIRANYI,19-Jun-19,Water Right,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
182,11100386,1110,386,11100386,ARUSHA URBAN WATER SUPPLY AND SEWEREGE AUTHORITY,P.O.BOX  13600 ARUSHA,md@auwsa.go.tz,255 2547186,2548981,Arusha,Arusha,,LORUVANI BONDENI,Borehole,AR 251/78,Urban Water Utilities Class A,Community Water Supply ,17.36,17.36,17.36,,,,LORUVANI BONDENI,19-Jun-19,Water Right,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
175,11100379,1110,379,11100379,ARUSHA URBAN WATER SUPPLY AND SEWEREGE AUTHORITY,BOX  13600,md@auwsa.go.tz,2547186,2548981,Arusha,Arusha,,MIANZINI,Borehole,AR 4/88,Urban Water Utilities Class A,Community Water Supply ,9.3,9.3,9.3,,,,MIANZINI,19-Jun-19,Water Right,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
3479,41,1110,41,111041,FIBREBOARDS AFRICA LTD,"P.O. BOX 1131, ARUSHA",,,,Arusha,ARUSHA,,Njiro,Borehole,AR 40/72,INDUSTRIAL,INDUSTRIAL,,0,0,,,,Njiro,8-May-85,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,themi,
176,11100380,1110,380,11100380,ARUSHA URBAN WATER SUPPLY AND SEWEREGE AUTHORITY,BOX  13600,md@auwsa.go.tz,2548981,2547186,Arusha,Arusha,,OLTULELEI,Borehole,AR 41/88,Urban Water Utilities Class A,Community Water Supply ,42,42,42,,,,OLTULELEI,19-Jun-19,Water Right,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
839,11100657,1110,657,11100657,TANGANYIKA FINANCE CO. LIMITED,BOX 721 USARIVER,,2.5576E+11,,Arusha,Arumeru,,NSUPU JUAKALI,Borehole,AR 476/2002,Institution,Community Water Supply ,0.2,0.2,0.2,,,,NSUPU JUAKALI,29-Jul-11,Water Right,Water Use Permit,Closed,5-Dec-18,1826.25,5-Dec-23,-437.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Kikuletwa juu,
840,11100658,1110,658,11100658,TANGANYIKA FINANCE CO. LIMITED,BOX 721 USARIVER,,2.5576E+11,,Arusha,Arumeru,,NSUPU JUAKALI,Borehole,AR 476/2002,Institution,Community Water Supply ,0.2,0.2,0.2,,,,NSUPU JUAKALI,28-Jul-11,Water Right,Water Use Permit,Active,5-Dec-18,1826.25,5-Dec-23,-437.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Kikuletwa juu,
181,11100385,1110,385,11100385,ARUSHA URBAN WATER SUPPLY AND SEWEREGE AUTHORITY,BOX  13600,md@auwsa.go.tz,,,Arusha,Arusha,,MOIVO I,Borehole,AR 51/86,Urban Water Utilities Class A,Community Water Supply ,11.57,11.57,11.57,,,,MOIVO I,19-Jun-19,Water Right,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
179,11100383,1110,383,11100383,ARUSHA URBAN WATER SUPPLY AND SEWEREGE AUTHORITY,P.O.BOX  13600 ARUSHA,md@auwsa.go.tz,255 2547186,2548981,Arusha,Arusha,,LORUVANI,Borehole,AR 58/89,Urban Water Utilities Class A,Community Water Supply ,12,12,12,,,,LORUVANI,19-Jun-19,Water Right,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
187,11100391,1110,391,11100391,ARUSHA URBAN WATER SUPPLY AND SEWEREGE AUTHORITY,P.O.BOX  13600 ARUSHA,md@auwsa.go.tz,2552547186,2548981,Arusha,Arusha,,ELKLORITI,Borehole,AR 60/86,Urban Water Utilities Class A,Community Water Supply ,13,13,13,,,,ELKLORITI,19-Jun-19,Water Right,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
177,11100381,1110,381,11100381,ARUSHA URBAN WATER SUPPLY AND SEWEREGE AUTHORITY,P.O.BOX  13600 ARUSHA,md@auwsa.go.tz,,,Arusha,Arusha,,SANAWARI,Borehole,AR 83/87,Urban Water Utilities Class A,Community Water Supply ,0.052,0.052,0.052,,,,SANAWARI,19-Jun-19,Water Right,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
183,11100387,1110,387,11100387,ARUSHA URBAN WATER SUPPLY AND SEWEREGE AUTHORITY,P.OBOX  13600 ARUSHA,md@auwsa.go.tz,2.55273E+11,2504163,Arusha,Arusha,,RORUVANI,Borehole,AR 91/78,Urban Water Utilities Class A,Community Water Supply ,4.9,4.9,4.9,,,,RORUVANI,19-Jun-19,Water Right,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
185,11100389,1110,389,11100389,ARUSHA URBAN WATER SUPPLY AND SEWEREGE AUTHORITY,BOX  13600,md@auwsa.go.tz,,,Arusha,Arusha,,SAKINA,Borehole,AR 92/78,Urban Water Utilities Class A,Community Water Supply ,4.9,4.9,4.9,,,,SAKINA,19-Jun-19,Water Right,Water Use Permit,Active,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
122,11100194,1110,194,11100194,ALIREZA M. R GULAM  HUSSEIN,Box 439 Arusha,,2.55755E+11,,Arusha,ARUMERU,Kiranyi,Olasiva,Borehole,AR/12/96,Individual,Domestic,0.042,0.042,0.042,,96292,2392,Olasiva,23-Aug-96,Water Right,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,,
123,140195,1110,195,11100195,MULTIFLOWER LIMITED,Box 14387 Arusha,,,,Arusha,ARUSHA,Themi,THEMI INDUSTRIES,Borehole,AR/201/95,Industrial,Individual,0.16,0.16,0.16,,96241,2454,THEMI INDUSTRIES,9-Apr-96,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
86,140095,1110,95,11100095,AFISA MTENDAJI KIJIJI CHA MAJENGO,Box 13 KIA,,,,Arusha,ARUMERU,Majengo,Majengo,Borehole,AR/36/94,Domestic,Village,1.43,1.43,1.43,,96104,2777,Majengo,5-Oct-98,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa ya juu,
701,140484,1110,484,11100484,DARSH INDUSTRIES LTD,Box  2385 Arusha,,,,Arusha,Arusha,,Themi,Borehole,AR/519/99,Industrial,Company,1.2,1.2,1.2,,96221,2463,Themi,5-Dec-02,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
172,140256,1110,256,11100256,SCRIPTURE MISSION,P.O.Box 2696  Arusha,,,,Arusha,Arumeru,Kiranyi,Olosiva,Borehole,AR/64/91,Domestic,Institution,0.02,0.02,0.02,,96293,2399,Olosiva,2-Apr-98,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
1234,141181,1110,1181,11101181,TRIBHASIK C. PANDYA,po box 477 moshi,hitenpandya@gmail.com,2.55755E+11,,Kilimanjaro,MWANGA,,KIFARU,Borehole,B/H,Small Scale Irrigation,Irrigation,4,4,4,,336494,9608105,KIFARU,24-Mar-14,New,Water Use Permit,Active,18-Aug-14,1826.25,18-Aug-19,-2007.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,,
1282,141216,1110,1216,11101216,MR DEVIVIE P.MUTALEMWA,po box 93 moshi,,2.55767E+11,,Arusha,MERU,,leganga,Borehole,B/H,Individual,Domestic,1,1,1,,261043,9627855,leganga,26-Jun-12,New,Water Use Permit,Active,15-Dec-16,1826.25,15-Dec-21,-1157.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Kikuletwa Juu,
106,140151,1110,151,11100151,MUNEMASA KATO,P.O.Box 1693. Arusha,,2.55755E+11,,Arusha,ARUSHA,Sombetini,PANGANI,Borehole,B/H 159/95,Individual,Domestic,0.5,0.5,0.5,,96253,2398,PANGANI,10-Dec-95,Water Right,Water Use Permit,Active,17-Dec-19,1826.25,16-Dec-24,-60.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
