PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
-0.976515491,-1.544357147,-0.960371427,1.458675317,-1.702154761,0.408577447,-1.227159212,-0.254501438,-0.208545164,-0.4486888,0.104461718,-0.413468816,-0.507315896
-0.89119176,-1.697953475,-0.277599487,-0.772129431,-1.645190556,0.653211889,-0.673225303,-1.210947907,-0.323022775,-0.302521209,1.103110577,-1.148424202,0.346213567
-1.351528956,-1.667681548,-0.458430411,1.55699003,-0.705203423,0.660767141,-1.112453348,-0.519628258,0.385143348,0.498375101,0.687540124,-0.830534073,-0.027779195
0.759511689,-1.557826372,-3.20260756,-0.713765648,-1.084205006,1.205824315,-0.424089449,1.299611348,-0.644631454,-0.016223221,-0.332710344,0.043101976,-0.041696511
4.244091868,0.612170571,1.199347572,0.096790235,0.629794736,-0.040408852,1.533760077,-1.679278178,0.809700707,-0.447088416,1.478276364,1.015776594,-0.251102545
-1.999826287,-1.768855284,0.063080413,-1.14367888,-0.625010143,0.89053391,-0.509624584,-1.366499446,0.042088336,-0.130950114,0.153600199,-0.292180784,-0.745717602
-1.976729382,-1.597102753,-0.63112117,2.557065883,0.357442608,0.777242383,-0.464942159,-0.666939766,-0.09994384,-0.613643516,0.930260378,-1.048719447,0.253651962
0.190346254,-1.274176778,-2.042187233,-0.439412735,-0.857941032,-0.644785214,0.198657844,-1.476977121,-0.196471137,-0.355437507,0.295879921,-0.556737885,0.394742322
-0.330833667,-1.722927752,-0.65960622,-0.21489289,-2.587411433,0.364639397,-1.454872729,-0.430439999,-0.314479894,-0.319338396,0.167876708,-0.50877842,-0.422285255
-2.329934185,-1.718890468,-0.052555019,0.061256028,0.129666514,0.933880101,-0.380286625,-1.16037778,-0.06712048,-0.52929558,0.097873245,-0.225568512,-0.782467362
-0.259840432,-1.351540354,-2.248827445,0.815330921,-0.390359268,-0.726079062,-1.231162877,-0.228958974,-0.191706257,-0.185958005,-0.125652896,-0.088213019,0.031693022
-0.96813992,-1.607003124,-1.189779853,-2.163951204,0.361249788,-0.285363153,-0.426665532,-1.41606946,-0.114476309,-0.125292795,-0.146616188,0.058310335,-0.251674665
3.134581352,-2.647440967,0.738345061,-0.235498287,0.932838256,-0.287877982,-1.137239673,-0.226523119,-0.166823109,-0.194271784,-0.098843822,-0.191286298,0.168404666
1.687950466,-2.134145684,-0.473163024,-0.368446773,0.235180711,-0.455547078,-1.089352367,-0.390719364,-0.302726025,-0.36355888,-0.09847917,-0.185986455,0.135789837
3.537417465,-2.357941391,0.443182278,0.198893577,0.319276483,-0.405024066,-0.229183701,-0.719765624,0.064857939,-0.10248011,-0.389328332,0.003052419,-0.19328118
2.670442827,-2.832508447,1.930730943,0.617559592,-0.702890436,0.744424816,-1.446203079,0.059568043,-0.205946853,-0.45462164,-0.185065546,-0.244988498,-0.665952741
3.019059597,-2.72580937,1.141825131,0.191093243,0.20957759,0.307257455,-1.388737455,-0.363021884,-0.201693342,-0.263116359,-0.544038575,0.476008228,0.602502916
3.53537384,-2.424756312,0.628304923,0.09452132,0.598304177,-0.329923262,-0.087911668,-0.852421996,0.072542841,-0.10974298,-0.195935302,-0.153566747,-0.013506148
1.419043218,-1.394148794,-1.808837797,1.45295239,0.589792215,-1.239090015,-0.24531903,-0.422137199,0.764327238,1.104522268,0.339566998,-0.770437547,-0.491469762
1.068174715,-2.343829004,0.794764599,0.344475132,-1.184269641,0.640090612,-1.287183214,-0.240896414,-0.34378591,-0.630054933,0.004141133,-0.39844255,-0.516305747
3.227089511,-2.612127686,0.619378235,-0.111505889,0.690076571,-0.358110302,-1.300203461,-0.063646858,-0.176169935,-0.190028572,-0.297534956,-0.02522743,-0.017768405
3.413941912,-2.557902233,0.626808551,0.007253408,0.607957764,-0.367094391,-0.9564674,-0.260048492,-0.096614807,-0.163678954,-0.326989068,-0.011991301,-0.076903995
3.413941912,-2.557902233,0.626808551,0.007253408,0.607957764,-0.367094391,-0.9564674,-0.260048492,-0.096614807,-0.163678954,-0.326989068,-0.011991301,-0.076903995
1.074476825,-1.364014745,-1.877585033,-0.45224299,-1.58956788,-0.815812261,-0.354829763,-0.979171805,0.003801951,0.019868898,-0.488200645,0.14310806,-0.424963379
-0.300006011,-1.223476357,-2.031151882,0.681087625,0.059284542,-0.534986745,0.321001355,-1.399284812,0.071911776,-0.106186226,0.447997007,-0.618924416,0.490004692
